waterpoint_id,district,source_type,power_source,management,age_years,depth_m,static_water_level_m,gw_trend_m_per_year,rainfall_mm_12mo,households_served,population_served,duty_cycle,water_tds_ppm,iron_ppm,chloride_ppm,distance_to_workshop_km,road_access_score,days_since_service,has_tariff,caretaker_trained,failures_past_24mo,mean_repair_delay_days,uptime_pct_12mo,handle_effort_index,season_month,failure_next_90d
WP-000011,Jhunjhunu,piped_standpost,solar_pv,private_operator,6.4,68.0,24.2,0.7,591.0,26,145,0.264,1132.0,2.4,280.0,15.2,4.2,99,1,1,3,5.6,80.1,7.75,10,0
WP-000012,Banswara,submersible_borewell,grid_electric,unmanaged,8.8,65.2,14.5,0.6,579.0,21,116,0.202,763.0,0.46,190.0,22.7,3.8,241,0,0,6,5.9,75.8,6.34,2,0
WP-000013,Ajmer,handpump_india_mk2,handpump,gram_panchayat,10.5,42.8,12.4,0.55,495.0,23,133,0.727,1820.0,0.42,677.0,20.0,5.2,220,0,0,1,5.8,98.8,6.3,2,0
WP-000014,Bhilwara,submersible_borewell,grid_electric,village_water_committee,11.2,66.5,22.4,0.77,532.0,29,166,0.293,812.0,0.42,325.0,22.9,3.2,137,1,1,1,0.5,100.0,4.42,1,0
WP-000015,Ajmer,handpump_india_mk2,handpump,village_water_committee,4.7,35.2,22.7,0.53,118.0,17,94,0.314,973.0,0.63,271.0,55.8,3.2,44,1,0,0,14.3,93.4,3.64,10,0
WP-000016,Bhilwara,handpump_india_mk2,handpump,gram_panchayat,15.4,58.9,17.1,0.98,515.0,28,152,0.526,545.0,0.9,134.0,28.7,6.3,211,0,0,4,3.8,81.5,8.55,5,1
WP-000017,Jhunjhunu,handpump_india_mk2,handpump,unmanaged,13.2,111.2,31.8,0.95,384.0,42,213,1.183,1165.0,0.76,285.0,35.7,5.4,1160,0,0,5,11.4,79.7,8.29,6,1
WP-000018,Jaisalmer,piped_standpost,grid_electric,gram_panchayat,0.8,98.7,84.1,1.28,168.0,35,200,0.24,1846.0,1.33,721.0,21.8,8.0,154,1,0,0,0.5,100.0,8.76,3,0
WP-000019,Udaipur,piped_standpost,grid_electric,gram_panchayat,6.2,46.2,11.8,0.83,585.0,40,270,0.404,1334.0,0.73,544.0,32.3,5.3,190,0,0,2,0.5,,4.9,3,0
WP-000020,Churu,spring_box,gravity,gram_panchayat,15.1,4.6,1.7,1.21,251.0,71,432,1.966,1535.0,0.9,648.0,10.6,4.9,161,1,1,6,0.5,77.5,7.26,10,1
WP-000021,Jhunjhunu,spring_box,gravity,unmanaged,7.9,5.6,2.8,0.65,566.0,28,142,1.072,1639.0,1.04,543.0,28.0,6.2,91,0,0,4,13.0,83.2,5.68,2,1
WP-000022,Nagaur,piped_standpost,grid_electric,unmanaged,2.6,61.9,25.1,0.71,560.0,41,191,0.208,1137.0,0.48,431.0,51.9,4.7,78,0,0,2,13.3,89.8,4.22,7,0
WP-000023,Bikaner,handpump_india_mk2,handpump,village_water_committee,9.3,59.1,30.3,1.58,277.0,21,118,0.605,1350.0,0.26,379.0,7.9,6.6,115,1,1,2,0.5,89.5,6.88,10,0
WP-000024,Banswara,piped_standpost,solar_pv,gram_panchayat,10.8,50.7,18.7,1.17,662.0,35,211,0.265,368.0,0.96,80.0,9.4,7.9,168,0,0,2,0.5,,7.03,9,0
WP-000025,Bhilwara,piped_standpost,grid_electric,unmanaged,0.4,59.4,28.6,1.1,421.0,35,181,0.323,1440.0,0.89,330.0,8.6,4.9,511,0,0,0,0.5,91.4,5.86,6,0
WP-000026,Pali,piped_standpost,solar_pv,unmanaged,1.8,68.3,17.9,1.25,242.0,16,84,0.149,1188.0,1.27,411.0,23.7,4.6,651,0,1,1,6.3,93.1,4.05,5,0
WP-000027,Nagaur,handpump_india_mk2,handpump,gram_panchayat,11.4,93.4,63.4,0.64,378.0,21,107,0.521,2386.0,2.28,472.0,5.7,5.1,9,1,0,2,1.1,85.4,8.1,6,1
WP-000028,Bhilwara,handpump_india_mk2,handpump,village_water_committee,16.0,84.8,32.7,0.65,326.0,15,103,0.616,1962.0,0.71,382.0,36.5,5.9,138,1,1,3,15.8,87.7,6.28,11,0
WP-000029,Jhunjhunu,spring_box,gravity,gram_panchayat,12.5,6.2,4.5,0.75,307.0,31,170,1.431,1628.0,1.46,301.0,44.0,5.1,103,0,1,5,16.2,82.8,8.4,3,1
WP-000030,Churu,handpump_india_mk2,handpump,gram_panchayat,9.4,76.6,54.4,0.91,310.0,27,159,0.128,941.0,1.8,250.0,9.4,7.4,184,0,0,1,0.5,88.4,7.46,4,0
WP-000031,Churu,handpump_mk3,handpump,village_water_committee,7.7,84.1,23.7,0.74,297.0,55,256,1.121,1553.0,0.71,525.0,38.5,2.1,28,1,0,2,14.7,89.8,5.91,2,0
WP-000032,Bikaner,handpump_mk3,handpump,unmanaged,5.1,106.7,79.1,1.25,250.0,44,228,0.913,1803.0,0.51,746.0,24.8,5.9,99,0,0,1,4.1,93.1,8.97,6,0
WP-000033,Jaisalmer,handpump_india_mk2,handpump,village_water_committee,2.9,109.0,45.1,1.35,352.0,33,227,1.251,1934.0,,502.0,30.7,7.9,125,1,1,0,0.5,94.3,6.78,8,0
WP-000034,Jhunjhunu,handpump_india_mk2,handpump,unmanaged,1.7,80.9,20.2,0.54,526.0,45,241,1.352,550.0,0.92,201.0,24.0,6.3,364,0,1,2,9.4,92.1,6.59,2,0
WP-000035,Udaipur,spring_box,gravity,gram_panchayat,0.6,3.9,1.0,0.31,665.0,40,235,0.906,614.0,0.26,234.0,35.6,5.2,280,0,0,0,12.8,89.5,3.97,8,0
WP-000036,Barmer,piped_standpost,solar_pv,village_water_committee,10.9,109.7,84.3,1.25,257.0,52,236,0.369,1383.0,0.96,527.0,16.7,5.7,220,1,1,1,0.5,91.1,9.2,11,0
WP-000037,Udaipur,piped_standpost,grid_electric,gram_panchayat,5.6,76.9,27.2,0.55,373.0,54,292,0.389,927.0,0.73,405.0,6.7,4.8,344,0,1,0,0.5,94.3,5.94,8,0
WP-000038,Bhilwara,handpump_india_mk2,handpump,gram_panchayat,18.9,77.2,28.9,0.5,426.0,97,387,1.979,1316.0,0.45,381.0,39.4,6.9,227,1,0,7,12.3,70.3,10.0,11,0
WP-000039,Jodhpur,handpump_india_mk2,handpump,unmanaged,7.8,131.5,90.8,0.97,220.0,49,246,1.403,1781.0,0.45,745.0,21.8,5.0,175,0,0,3,14.6,86.2,10.0,7,1
WP-000040,Pali,handpump_mk3,handpump,gram_panchayat,5.2,85.9,62.2,0.42,404.0,14,75,0.262,1119.0,0.25,403.0,7.6,5.1,39,0,0,2,8.4,86.8,7.2,1,0
WP-000041,Jaisalmer,handpump_mk3,handpump,village_water_committee,6.3,114.4,92.3,1.45,355.0,67,409,1.867,1942.0,0.24,561.0,26.0,3.5,46,1,0,3,3.7,86.4,10.0,4,1
WP-000042,Bhilwara,handpump_india_mk2,handpump,unmanaged,6.6,74.4,48.3,0.57,513.0,20,105,0.374,1240.0,0.79,373.0,19.0,3.3,500,0,0,6,9.2,83.4,,2,1
WP-000043,Ajmer,piped_standpost,grid_electric,gram_panchayat,16.8,64.9,18.0,0.61,426.0,94,501,0.511,1029.0,0.5,291.0,15.0,6.1,38,0,0,5,3.3,78.7,6.1,8,0
WP-000044,Nagaur,spring_box,gravity,village_water_committee,12.7,2.7,1.3,1.15,419.0,24,113,0.833,1771.0,1.91,558.0,25.6,5.5,324,1,0,1,3.1,90.1,7.85,11,1
WP-000045,Barmer,submersible_borewell,grid_electric,unmanaged,3.8,80.8,34.6,1.54,224.0,81,428,0.837,2254.0,2.77,737.0,11.0,6.1,306,0,0,0,0.5,95.9,8.04,1,0
WP-000046,Banswara,handpump_mk3,handpump,village_water_committee,3.0,40.4,18.0,0.52,540.0,15,88,0.31,583.0,0.39,159.0,12.4,6.5,72,0,0,1,2.0,91.3,5.58,10,0
WP-000047,Churu,handpump_mk3,handpump,village_water_committee,18.9,63.9,49.1,0.81,404.0,77,274,1.557,1311.0,,432.0,36.7,3.5,169,0,1,2,14.6,,9.8,7,1
WP-000048,Udaipur,handpump_india_mk2,handpump,gram_panchayat,5.7,50.8,30.4,0.7,598.0,89,533,1.774,969.0,0.96,239.0,18.2,6.7,118,1,0,0,1.2,94.5,7.42,5,0
WP-000049,Ajmer,handpump_india_mk2,handpump,gram_panchayat,7.4,67.1,35.8,0.77,359.0,101,518,2.779,1638.0,0.25,527.0,5.4,4.5,310,0,0,4,0.5,78.8,8.48,4,0
WP-000050,Bhilwara,submersible_borewell,solar_pv,gram_panchayat,17.3,83.2,47.3,0.81,283.0,74,390,0.478,1008.0,2.03,397.0,17.5,6.3,25,1,1,2,0.5,93.4,9.11,1,0
WP-000051,Bhilwara,handpump_mk3,handpump,unmanaged,8.9,44.8,27.4,0.98,491.0,37,188,0.861,1792.0,1.0,732.0,42.5,6.5,290,0,0,3,23.3,82.5,7.23,6,1
WP-000052,Bikaner,submersible_borewell,solar_pv,village_water_committee,6.1,104.5,55.0,1.07,213.0,32,158,0.243,2264.0,0.74,970.0,8.1,7.4,128,1,1,0,0.5,98.0,8.32,6,0
WP-000053,Nagaur,piped_standpost,solar_pv,unmanaged,4.2,85.8,47.0,1.34,270.0,36,163,0.12,931.0,0.29,261.0,17.4,2.7,343,0,0,0,0.5,96.3,5.1,5,0
WP-000054,Churu,handpump_india_mk2,handpump,village_water_committee,9.1,89.3,64.4,0.82,245.0,16,76,0.321,1709.0,1.26,374.0,8.4,7.3,43,0,0,1,0.5,88.4,6.94,9,0
WP-000055,Churu,handpump_india_mk2,handpump,village_water_committee,7.6,81.7,38.7,0.79,299.0,27,124,0.551,1603.0,,412.0,31.5,1.0,97,1,1,0,7.2,99.2,,5,0
WP-000056,Barmer,handpump_india_mk2,handpump,village_water_committee,6.6,126.6,63.4,1.49,238.0,57,331,1.123,1502.0,0.24,622.0,17.7,5.4,87,0,1,1,0.5,93.9,10.0,7,0
WP-000057,Jhunjhunu,handpump_india_mk2,handpump,village_water_committee,3.4,60.2,38.6,1.0,326.0,91,584,2.355,1329.0,1.78,248.0,2.0,7.5,336,1,1,1,0.5,86.3,7.23,9,0
WP-000058,Jaisalmer,submersible_borewell,solar_pv,gram_panchayat,6.6,87.1,69.0,1.18,102.0,25,127,0.247,2090.0,1.92,620.0,13.0,6.5,73,1,0,0,0.5,93.5,8.37,5,0
WP-000059,Ajmer,piped_standpost,grid_electric,unmanaged,9.1,68.9,39.8,0.75,221.0,25,124,0.192,1135.0,2.65,430.0,20.0,6.2,164,0,0,1,0.5,94.6,7.93,10,1
WP-000060,Ajmer,piped_standpost,grid_electric,unmanaged,15.0,73.3,32.7,0.65,449.0,85,450,0.629,1693.0,1.68,601.0,22.8,6.9,451,0,1,2,0.5,90.0,6.87,5,1
WP-000061,Banswara,submersible_borewell,grid_electric,private_operator,7.5,56.1,20.5,0.45,658.0,28,128,0.142,563.0,0.5,143.0,20.4,6.8,20,1,1,0,0.5,98.8,5.36,8,0
WP-000062,Ajmer,handpump_mk3,handpump,village_water_committee,8.2,66.2,19.2,0.34,462.0,18,101,0.38,1259.0,1.45,484.0,13.6,9.1,215,1,0,0,0.5,95.3,4.76,5,0
WP-000063,Nagaur,handpump_india_mk2,handpump,unmanaged,12.3,89.9,38.8,0.73,141.0,64,339,1.508,1556.0,3.32,383.0,17.3,6.1,992,0,0,3,0.5,84.6,8.78,8,1
WP-000064,Banswara,handpump_mk3,handpump,gram_panchayat,9.4,62.1,18.4,0.47,451.0,31,120,0.509,562.0,1.1,161.0,13.6,5.5,374,1,0,2,0.5,85.1,5.65,11,0
WP-000065,Nagaur,handpump_india_mk2,handpump,private_operator,16.2,80.9,29.3,0.46,190.0,39,225,0.802,980.0,0.93,180.0,20.1,6.7,67,1,1,3,0.5,83.4,7.51,4,0
WP-000066,Jodhpur,piped_standpost,grid_electric,private_operator,5.3,113.8,75.5,0.31,186.0,27,120,0.16,1754.0,1.43,396.0,36.4,4.2,99,1,0,1,11.7,90.7,6.38,10,0
WP-000067,Udaipur,handpump_mk3,handpump,village_water_committee,4.1,62.5,29.8,0.02,443.0,42,219,0.796,755.0,0.52,283.0,23.7,3.9,208,0,0,0,0.5,98.3,7.92,10,0
WP-000068,Nagaur,handpump_india_mk2,handpump,gram_panchayat,8.3,77.1,23.4,1.39,241.0,15,76,0.457,981.0,0.69,428.0,3.0,6.7,230,0,1,3,0.5,83.9,4.91,12,0
WP-000069,Barmer,handpump_india_mk2,handpump,unmanaged,5.5,113.0,43.4,1.83,530.0,25,146,0.863,1793.0,0.95,474.0,8.9,5.6,105,0,1,0,5.8,92.1,6.94,9,0
WP-000070,Churu,handpump_india_mk2,handpump,village_water_committee,2.9,50.8,23.2,1.12,240.0,31,156,0.712,1420.0,0.31,317.0,10.8,4.9,316,1,1,0,5.5,98.1,4.95,4,0
WP-000071,Bhilwara,piped_standpost,grid_electric,private_operator,20.2,46.1,19.5,0.65,212.0,21,133,0.23,1188.0,,477.0,20.9,9.3,57,1,1,3,0.5,91.6,,1,0
WP-000072,Bikaner,handpump_india_mk2,handpump,unmanaged,8.0,86.9,64.9,1.52,387.0,47,289,1.75,2127.0,2.18,820.0,3.0,10.0,203,0,0,2,0.5,78.5,9.53,9,0
WP-000073,Churu,handpump_india_mk2,handpump,gram_panchayat,28.5,64.4,18.8,0.65,328.0,88,469,2.587,1489.0,,384.0,52.1,2.5,157,1,0,6,20.4,76.8,10.0,5,1
WP-000074,Jaisalmer,handpump_india_mk2,handpump,gram_panchayat,2.7,108.9,46.4,1.33,319.0,45,307,1.147,2377.0,0.99,829.0,25.8,3.3,374,1,1,1,8.4,90.0,10.0,5,0
WP-000075,Ajmer,piped_standpost,grid_electric,gram_panchayat,3.5,79.3,50.2,0.86,434.0,27,137,0.233,1375.0,0.72,454.0,31.3,6.1,401,0,1,3,8.4,86.2,,2,0
WP-000076,Churu,submersible_borewell,solar_pv,private_operator,1.9,109.3,50.5,0.93,486.0,22,106,0.156,1709.0,0.69,505.0,8.4,5.7,67,1,1,1,2.1,91.6,7.75,11,0
WP-000077,Jodhpur,submersible_borewell,grid_electric,gram_panchayat,12.7,75.2,29.4,0.41,324.0,9,59,0.111,866.0,1.01,226.0,11.7,6.0,130,1,0,2,1.2,89.5,6.46,5,0
WP-000078,Bikaner,handpump_mk3,handpump,gram_panchayat,1.6,99.3,59.8,1.51,381.0,17,101,0.224,1559.0,0.74,441.0,20.3,6.4,138,1,1,1,0.5,91.5,5.72,2,0
WP-000079,Jhunjhunu,handpump_india_mk2,handpump,village_water_committee,7.3,93.3,65.5,0.65,517.0,23,138,0.245,1566.0,1.47,430.0,56.1,3.8,216,1,1,0,32.8,94.7,10.0,4,0
WP-000080,Ajmer,piped_standpost,grid_electric,unmanaged,3.0,69.6,45.6,0.52,396.0,46,272,0.468,1243.0,0.09,534.0,13.7,4.2,1057,0,0,1,0.5,89.6,9.38,4,0
WP-000081,Banswara,handpump_india_mk2,handpump,unmanaged,7.8,68.3,28.0,0.0,587.0,18,107,0.512,512.0,0.08,128.0,22.0,5.6,757,0,0,0,7.2,93.7,3.98,6,0
WP-000082,Churu,handpump_india_mk2,handpump,gram_panchayat,9.9,81.6,26.6,1.22,464.0,41,228,1.158,1365.0,0.97,366.0,13.1,8.7,172,1,0,2,0.5,86.5,7.92,11,0
WP-000083,Jaisalmer,submersible_borewell,solar_pv,unmanaged,6.7,117.0,44.8,1.35,274.0,63,304,0.387,2346.0,0.55,522.0,6.9,7.8,287,0,0,2,0.5,82.6,6.53,10,0
WP-000084,Bhilwara,handpump_india_mk2,handpump,gram_panchayat,11.8,51.9,19.1,0.89,600.0,20,86,0.264,1220.0,0.02,265.0,28.3,6.3,101,0,0,1,3.9,92.9,,3,0
WP-000085,Pali,handpump_india_mk2,handpump,unmanaged,16.9,49.1,32.5,0.71,703.0,35,177,0.714,1605.0,0.88,429.0,9.5,7.2,663,0,1,6,0.5,81.1,10.0,12,1
WP-000086,Ajmer,piped_standpost,grid_electric,village_water_committee,2.3,60.9,36.2,0.65,381.0,63,351,0.338,1626.0,0.16,395.0,31.3,6.6,114,1,1,0,0.5,99.0,6.61,9,0
WP-000087,Jaisalmer,handpump_mk3,handpump,village_water_committee,5.9,94.6,80.5,0.99,168.0,29,179,0.609,1994.0,2.79,638.0,21.8,6.6,20,1,0,3,0.5,83.2,10.0,9,1
WP-000088,Jodhpur,handpump_india_mk2,handpump,unmanaged,11.1,91.4,49.1,1.12,102.0,28,142,0.766,1735.0,0.89,630.0,16.9,7.3,155,0,1,6,0.5,76.1,9.3,11,1
WP-000089,Bhilwara,handpump_mk3,handpump,gram_panchayat,2.4,71.3,34.5,0.7,331.0,22,91,0.38,959.0,0.2,401.0,32.8,5.5,291,0,0,0,1.8,86.8,4.7,3,0
WP-000090,Bhilwara,submersible_borewell,grid_electric,gram_panchayat,20.7,52.7,19.4,0.6,375.0,19,121,0.167,1593.0,0.48,557.0,15.5,2.6,57,0,1,4,11.2,76.6,6.1,11,1
WP-000091,Churu,handpump_india_mk2,handpump,private_operator,5.8,67.3,36.0,0.6,358.0,13,81,0.285,1384.0,1.59,350.0,16.1,5.5,18,1,1,2,0.5,82.1,6.65,2,0
WP-000092,Bhilwara,handpump_india_mk2,handpump,gram_panchayat,22.6,90.1,49.2,0.6,437.0,19,97,0.386,1456.0,0.65,350.0,7.9,8.8,13,1,0,3,0.5,80.9,10.0,9,0
WP-000093,Udaipur,submersible_borewell,grid_electric,gram_panchayat,2.1,53.2,12.2,0.06,464.0,26,146,0.24,1362.0,0.96,536.0,9.2,6.2,224,1,1,0,0.5,94.4,4.88,7,0
WP-000094,Nagaur,submersible_borewell,grid_electric,gram_panchayat,13.2,73.9,53.0,0.78,302.0,35,178,0.309,1819.0,0.14,762.0,1.7,7.7,133,1,1,3,0.5,86.0,9.75,4,0
WP-000095,Udaipur,spring_box,gravity,gram_panchayat,4.2,2.6,1.2,0.28,464.0,59,271,1.133,1111.0,1.0,456.0,9.4,5.6,74,0,1,1,0.5,96.9,7.11,1,0
WP-000096,Jodhpur,handpump_mk3,handpump,village_water_committee,7.0,68.9,30.1,0.96,265.0,13,68,0.318,1173.0,1.7,455.0,8.7,,255,1,0,4,0.5,,5.88,11,0
WP-000097,Bikaner,handpump_india_mk2,handpump,village_water_committee,10.3,78.8,36.4,1.22,65.0,14,60,0.385,2309.0,0.95,995.0,17.1,7.5,228,1,1,2,0.5,73.6,,11,0
WP-000098,Ajmer,submersible_borewell,grid_electric,gram_panchayat,12.5,79.7,54.2,0.7,623.0,66,365,0.473,1485.0,2.19,361.0,1.9,6.1,71,1,1,2,0.5,87.1,,12,0
WP-000099,Pali,submersible_borewell,grid_electric,private_operator,9.3,57.7,22.7,0.66,356.0,22,124,0.212,953.0,2.66,190.0,9.1,8.3,71,1,1,2,0.5,87.1,6.79,3,0
WP-000100,Jaisalmer,handpump_india_mk2,handpump,gram_panchayat,6.8,74.7,46.0,1.14,132.0,42,201,0.856,1766.0,0.46,621.0,38.6,8.8,367,0,0,3,5.1,78.6,7.26,7,0
WP-000101,Bhilwara,submersible_borewell,grid_electric,gram_panchayat,7.7,58.4,22.6,0.76,435.0,53,318,0.497,1186.0,1.09,260.0,27.1,5.8,108,0,0,1,3.9,87.1,4.99,3,0
WP-000102,Bikaner,handpump_india_mk2,handpump,gram_panchayat,30.6,94.3,55.3,1.28,142.0,39,171,0.918,2064.0,2.05,860.0,30.8,7.7,71,0,0,9,0.5,69.1,9.18,8,1
WP-000103,Bhilwara,piped_standpost,solar_pv,village_water_committee,13.8,86.1,35.8,1.16,613.0,28,128,0.216,502.0,1.34,112.0,22.1,5.6,157,0,0,0,8.9,95.4,6.1,9,0
WP-000104,Barmer,piped_standpost,solar_pv,gram_panchayat,3.3,98.5,55.5,1.99,60.0,46,272,0.482,1863.0,0.43,642.0,26.7,4.6,213,0,1,1,0.5,94.5,6.86,4,0
WP-000105,Bhilwara,handpump_mk3,handpump,village_water_committee,7.6,72.4,19.3,1.2,481.0,31,176,0.61,1238.0,0.46,502.0,16.6,8.0,205,0,0,0,0.5,95.7,6.73,2,0
WP-000106,Bhilwara,spring_box,gravity,gram_panchayat,9.6,7.1,1.8,0.7,678.0,22,110,0.566,845.0,1.92,277.0,11.3,4.9,331,0,0,2,0.5,86.7,5.82,12,0
WP-000107,Bhilwara,spring_box,gravity,village_water_committee,0.8,6.5,3.9,0.39,367.0,28,153,1.077,1452.0,1.48,638.0,8.1,5.5,18,1,1,1,0.5,95.3,4.33,8,0
WP-000108,Pali,handpump_india_mk2,handpump,gram_panchayat,14.9,56.1,36.8,0.74,112.0,24,120,0.431,1401.0,0.37,557.0,38.1,7.3,75,0,1,3,12.8,84.1,8.16,2,1
WP-000109,Churu,handpump_mk3,handpump,gram_panchayat,3.6,97.9,75.8,1.09,295.0,33,164,0.797,1830.0,0.38,721.0,6.6,4.8,131,0,0,0,0.5,100.0,9.74,3,0
WP-000110,Ajmer,submersible_borewell,solar_pv,unmanaged,4.5,68.8,35.2,0.61,419.0,16,89,0.17,940.0,0.8,249.0,2.7,3.4,439,0,0,3,0.5,86.7,,1,1
WP-000111,Jodhpur,handpump_india_mk2,handpump,private_operator,2.8,83.6,36.0,0.93,286.0,56,292,1.54,1795.0,0.57,355.0,6.5,6.8,66,1,1,0,0.5,96.5,6.18,6,0
WP-000112,Bhilwara,handpump_mk3,handpump,unmanaged,13.3,72.2,44.2,0.93,385.0,27,137,0.549,1412.0,0.46,559.0,16.6,3.9,231,0,0,2,16.3,93.6,8.79,7,0
WP-000113,Jhunjhunu,handpump_india_mk2,handpump,gram_panchayat,10.7,64.9,45.1,0.78,430.0,15,76,0.329,1141.0,0.59,480.0,12.3,7.5,115,0,0,2,0.5,88.8,6.88,1,1
WP-000114,Churu,spring_box,gravity,gram_panchayat,13.7,3.7,1.6,1.13,421.0,19,134,0.832,1391.0,0.19,264.0,25.1,8.9,195,1,0,5,0.5,,7.58,11,1
WP-000115,Jhunjhunu,handpump_mk3,handpump,village_water_committee,17.7,57.6,25.7,0.77,321.0,17,99,0.371,950.0,0.39,383.0,34.4,7.5,20,0,1,2,4.3,88.7,6.39,1,1
WP-000116,Jhunjhunu,piped_standpost,grid_electric,village_water_committee,8.3,101.3,49.4,0.17,425.0,15,75,0.096,1008.0,3.03,264.0,19.6,4.8,164,1,1,1,10.2,90.8,6.6,4,0
WP-000117,Barmer,handpump_mk3,handpump,village_water_committee,5.0,89.5,47.7,0.5,139.0,76,356,1.435,1591.0,1.07,619.0,17.7,7.9,20,0,0,1,3.3,82.4,8.45,9,0
WP-000118,Jaisalmer,handpump_india_mk2,handpump,village_water_committee,8.4,90.9,57.2,1.36,483.0,61,324,1.868,1874.0,1.4,438.0,9.7,4.5,211,1,1,5,0.5,89.2,10.0,1,1
WP-000119,Bikaner,piped_standpost,grid_electric,gram_panchayat,4.5,101.3,78.6,1.1,393.0,14,58,0.065,1953.0,0.66,590.0,6.7,7.2,85,1,0,0,0.5,92.4,9.12,5,0
WP-000120,Jaisalmer,handpump_india_mk2,handpump,private_operator,10.2,96.2,78.5,1.28,458.0,16,101,0.49,2009.0,1.86,392.0,33.6,4.1,89,1,1,3,0.5,91.2,10.0,4,0
WP-000121,Churu,handpump_india_mk2,handpump,gram_panchayat,15.2,46.1,15.0,1.11,428.0,16,78,0.382,1928.0,1.06,667.0,43.5,3.1,299,0,0,2,19.5,94.5,5.49,12,0
WP-000122,Ajmer,handpump_mk3,handpump,village_water_committee,3.8,99.4,55.4,0.83,276.0,38,202,1.268,1048.0,0.39,205.0,7.6,3.4,9,1,0,0,0.5,,10.0,10,0
WP-000123,Pali,submersible_borewell,solar_pv,gram_panchayat,8.4,66.3,20.8,0.85,292.0,32,193,0.442,909.0,0.28,266.0,9.8,8.4,34,0,1,1,8.3,94.9,7.84,7,0
WP-000124,Churu,handpump_mk3,handpump,village_water_committee,6.7,69.8,30.7,1.46,401.0,36,233,0.835,1180.0,,409.0,39.0,6.3,136,1,1,3,5.5,80.7,7.71,3,0
WP-000125,Udaipur,handpump_india_mk2,handpump,gram_panchayat,7.0,52.8,19.6,0.64,497.0,15,74,0.385,1412.0,0.56,352.0,11.7,9.4,207,1,1,0,8.2,100.0,,2,0
WP-000126,Jhunjhunu,handpump_india_mk2,handpump,gram_panchayat,13.1,64.5,43.7,0.93,486.0,13,76,0.303,598.0,0.54,204.0,15.6,5.0,248,0,0,3,0.5,81.0,8.31,1,0
WP-000127,Barmer,handpump_india_mk2,handpump,village_water_committee,9.8,85.1,42.1,1.01,208.0,20,136,0.688,2201.0,0.49,563.0,19.9,5.3,66,1,0,2,0.5,91.1,7.15,12,0
WP-000128,Bhilwara,handpump_india_mk2,handpump,village_water_committee,5.9,66.0,32.5,0.31,573.0,45,193,0.664,703.0,0.64,155.0,26.2,5.3,71,1,0,1,4.0,93.1,7.59,12,0
WP-000129,Jhunjhunu,submersible_borewell,grid_electric,unmanaged,6.5,43.0,23.6,1.59,653.0,119,579,0.985,1457.0,0.4,572.0,13.6,8.0,264,0,0,2,2.0,79.1,5.63,5,0
WP-000130,Pali,handpump_india_mk2,handpump,gram_panchayat,7.7,85.7,36.3,1.15,216.0,13,72,0.458,1912.0,0.73,409.0,13.7,5.1,176,0,0,2,9.7,83.4,5.57,2,0
